,text,author_id,public_metrics,created_at,id,query_description,tags,withheld,"('english_score', 'universal_score')"
27,@Blklivesmatter is this that #WhiteSupremacy I keep hearing about🤔 or did an #SUV do this like the #WaukeshaMassacre ? https://t.co/fNxlt1eIZA,1118097592292904960,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:15:16+00:00,1467980991889354762,Testing the search with loops,#race##BLM#Test,,"(0.17, 0.09)"
28,"#America is NOT the #HouseOfGod. This is #ChristianNationalist #ideology. So #America w/ its original sin of #Slavery &amp; #WhiteSupremacy was ideal? Hardly. We we all just a bunch of sin ers way back then, like rest of #humanity. We just thought we were better than others. 🤷 https://t.co/rpmrm0dcTx",1349532325181349891,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:11:48+00:00,1467980116957577224,Testing the search with loops,#race##BLM#Test,,"(0.22, 0.19)"
29,"RT @kk131066: America doesn't need healing

The US needs to stop the spread of #racism 
URGENTLY

#ArrestTrump
Bring #GOPTraitors to justic…",316728000,"{'retweet_count': 30, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:10:39+00:00,1467979829983293443,Testing the search with loops,#race##BLM#Test,,"(0.88, 0.89)"
30,"The Assistant DA's best offer to Lexis is for Lexis to serve time in prison- this is for protesting Daunte Wright's murder &amp; while protesting, Lexis' sister was assaulted by an Albany Police Officer.
They create outrageous conditions and then they punish us for our outrage. #BLM https://t.co/IzQqBEqsLu",910855741493346304,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:50:11+00:00,1467989776909455362,Testing the search with loops,#race##BLM#Test,,"(0.33, 0.19)"
31,RT @cowards_are_us: @LeaderMcConnell @GOPLeader @marcorubio @SenTedCruz @SenJoniErnst SILENCE INDICATES THEY SUPPORT #Trump 2B THE RACIST L…,736905000593575936,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:49:35+00:00,1467989626480644101,Testing the search with loops,#race##BLM#Test,,"(0.7, 0.73)"
32,#darker #getting #closer #i! #blackestheart!! #traverse!! #antichrist #blm #blkfacets https://t.co/FeCQi7xsJe,1465838617511792643,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:49:01+00:00,1467989484214136834,Testing the search with loops,#race##BLM#Test,,"(0.23, 0.17)"
33,RT @cowards_are_us: KEVIN MCCARTHY @GOPLeader LIVES IN A FILTHY SEWER ALONG WITH #Trump @marcorubio @SenTedCruz @SenJoniErnst @LeaderMcConn…,772948822347673601,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:48:15+00:00,1467989291309674501,Testing the search with loops,#race##BLM#Test,,"(0.74, 0.73)"
34,"RT @mariamarilucen: L'#assassino di #NewYork, che con 11 coltellate ha barbaramente ucciso #DavideGiri,dichiarava di #odiareibianchi.
Tra c…",2615476385,"{'retweet_count': 76, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:47:04+00:00,1467988993178574848,Testing the search with loops,#race##BLM#Test,,"(0.66, 0.57)"
35,RT @MrPhenomenalJay: I Might Be Sick &amp; Sound Like Shit But Let's Help Ppl Get Their Challenge Done | https://t.co/NlDYBgMV0a #Destiny2 #PXG…,347436817,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:46:07+00:00,1467988755982295052,Testing the search with loops,#race##BLM#Test,,"(0.22, 0.11)"
36,@RepBobbyRush @AOC What happened to #ExtendPUA?! This is another reason #Democrats will lose the senate if it depends on the votes of my family and I. Black families need this money. It needs to be retroactive. But posting on twitter won’t do any good. We’ll show you. #BLM,1456756431365885953,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:44:47+00:00,1467988419582197761,Testing the search with loops,#race##BLM#Test,,"(0.24, 0.2)"
37,"@SenRickScott @NBA Oh, you mean like how you stood up  to the NFL for racial injustice in the US
#BLM 
#CollinKapernick",1296560634553864193,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:44:10+00:00,1467988263751368707,Testing the search with loops,#race##BLM#Test,,"(0.27, 0.38)"
38,"RT @mtchknght8: If you spent your life believing (as I do ,FYI)#BLM/ Black Lives Matter, and the only gig you see for young black actors is…",311087391,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:43:58+00:00,1467988213323243527,Testing the search with loops,#race##BLM#Test,,"(0.51, 0.5)"
39,"@JofreMontoto @RogerCosta16 Sí, jo també entenc la reacció violenta i organitzada dels sectors privilegiats com un fenomen lligat a la por al canvi, a perdre posicions. No és casual que hi hagi hagut un fort #BLM, #MeToo, etc. anteriorment dins la seqüència. I això no només passa als EUA.",45771893,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:43:44+00:00,1467988153801887753,Testing the search with loops,#race##BLM#Test,,"(0.34, 0.28)"
40,"@JRD0000 If the new definition of anti vaxxer is someone who is against vaccine mandates then yes I am a proud ANTI VAXXER 

I'm proud to be anti vax under that definition because I'm #prochoice",2302016110,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-07T15:10:10+00:00,1468236397437980674,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.07, 0.1)"
41,"RT @Pat_Lewis360: @Dr_G_Enigma As the esteemed @BarneyFrank said,  'Republicans believe that life begins at conception -- and ends at birth…",29625786,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T15:10:01+00:00,1468236359227826191,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.63, 0.78)"
42,"@marceelias GOP US Rep Peter Meijer R-MI @RepMeijer @VoteMeijer voted against #DCstatehood US #VotingRights #HR51 2021.

Meijer's hatred of democracy, &amp; military / vet families, federal workers fams, women, #ProChoice, LGBTQ, Jews, blacks, Catholics, poor, grocery workers,

knows no bounds.",2996516074,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T15:05:35+00:00,1468235245896056837,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.74, 0.71)"
43,@dbnewsjournal But we have a “culture of life” and we are going to outlaw abortion?? This is what happens when women are forced to give birth. Sickening. Floridians better pay attention to what our republican legislators and SCOTUS is doing before it’s too late. #prochoice,152136610,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T15:05:05+00:00,1468235116858290189,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.35, 0.31)"
44,"RT @murmalerm: Woah, he admitted the quiet part out load #ReproductiveRights #ReproRights #AbortionIsEssential #AbortionIsHealthcare #proch…",1003775348151119872,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:58:33+00:00,1468233476637925395,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.31, 0.46)"
45,"Woah, he admitted the quiet part out load #ReproductiveRights #ReproRights #AbortionIsEssential #AbortionIsHealthcare #prochoice #ProLife https://t.co/3MuAD5c5Hu",1014875359869915136,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2021-12-07T14:57:23+00:00,1468233181447045125,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.29, 0.21)"
46,Just beautiful honest look at what it is like to grow from girl to woman. Try to have some compassion. Stop sexualizing and demanding control over girls. Let's let health care providers CARE! #Prochoice @APAPublicInt https://t.co/52cTWx7FSn,2465902336,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:57:13+00:00,1468233140481277953,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.32, 0.24)"
47,"Awake yet? I don’t mean woke, that’s a joke. #prochoice #WAKE UP #bigpharmacartel #BigPharmaTyranny #DoNotComplyEVER #medicalapartheid #CCPVirus #FJBiden https://t.co/ebsI3uIRSJ",43404038,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:49:53+00:00,1468231295415341067,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.18, 0.23)"
48,"According to PEW, 35% of #GOP are #prochoice. What % will vote #Democrat in the next two, four, eight elections? What is the Democratic Party doing to secure those votes?  Public Opinion on Abortion https://t.co/wkZpqxJlJw",882561206,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:44:49+00:00,1468230018249732107,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.2, 0.15)"
49,#prochoice #RoeVWade #HumanRights,1371117663016079360,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:43:19+00:00,1468229641387352066,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.16, 0.11)"
50,#ProChoice #AbortionIsEssential #AbortionIsNotHealthcare #AbortionRights https://t.co/IwY624bLSh,989775379,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:40:01+00:00,1468228810281652227,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.22, 0.11)"
